Disease Name,Symptom Description
Thyroid Cancer,"no fever, no cough, experience fatigue, no difficulty breathing, high blood pressure level, high cholesterol level."
Tonsillitis,"have fever, have cough, experience fatigue, no difficulty breathing, high blood pressure level, high cholesterol level."
Tourette Syndrome,"no fever, no cough, experience fatigue, no difficulty breathing, high blood pressure level, high cholesterol level."
Tuberculosis,"have fever, have cough, experience fatigue, have difficulty breathing, high blood pressure level, high cholesterol level."
Turner Syndrome,"no fever, no cough, experience fatigue, no difficulty breathing, high blood pressure level, high cholesterol level."
Typhoid Fever,"no fever, have cough, no fatigue, no difficulty breathing, normal blood pressure level, unknown status."
Ulcerative Colitis,"have fever, have cough, experience fatigue, no difficulty breathing, high blood pressure level, high cholesterol level."
Urinary Tract Infection,"have fever, have cough, experience fatigue, have difficulty breathing, high blood pressure level, high cholesterol level."
Urinary Tract Infection (UTI),"have fever, have cough, experience fatigue, no difficulty breathing, high blood pressure level, high cholesterol level."
Williams Syndrome,"no fever, no cough, experience fatigue, no difficulty breathing, normal blood pressure level, normal cholesterol level."
Zika Virus,"no fever, have cough, experience fatigue, no difficulty breathing, high blood pressure level, high cholesterol level."
